audit_image_index,audit_annotation_index,canonical_image_id,run,pattern,image_relative_path,annotation_relative_path,image_sha256,annotation_sha256,annotation_row_index,x,y,annotation_selection_rank_sha256,edge_distance_px,center_disk_r2_mean_gray,annulus_r4_r8_mean_gray,center_minus_annulus_gray,local_r12_std_gray,navigation_only
1,1,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,79,421,214,00f5f4c20fcd294f116b3c02ff30d020050306d74a3bfceae52e3c5be412f06d,90,127.84615384615384,90.8157894736842,37.030364372469634,24.847795800835133,True
1,2,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,224,45,331,062fbc13b82fc84a602b00fa7b6998dea2aaa59740e932ebacbe8be086ef445c,45,136.15384615384616,110.64473684210526,25.5091093117409,28.62292120940838,True
1,3,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,97,72,220,066eec5ef38a6134e7364fb6f5e925e571d53fb3396ed8db5a93a233b78cc30d,72,134.0,90.4407894736842,43.559210526315795,24.86499097124308,True
1,4,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,351,506,310,0724e61b884c2521132b6ed04ad2765f3cc5cea100482263ff8bc1ed88953b12,5,119.15384615384616,85.9624060150376,33.19144013880856,19.838698309548537,True
1,5,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,274,244,311,0734f7462106958c0e945a92db9bf0bd4233767692fa92941e64bd0444d22272,200,120.3076923076923,92.21052631578948,28.097165991902827,23.221981090337664,True
1,6,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,4,12,43,073c635a686710370e30b66204207ea997df9afdc53be08acb25a0194b8590fe,12,146.15384615384616,112.57894736842105,33.574898785425106,26.89992195081614,True
1,7,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,42,10,281,07dda8a7e7f2c90044761306f5e8aca9f40926866c35df7d8612df2a112bada4,10,134.3846153846154,96.91447368421052,37.47014170040487,25.514041295208617,True
1,8,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,30,129,10,08087aab99381c54334b793b34bf5c0a9de6c8567462ba7c96e657ad2c9464fc,10,117.84615384615384,86.36184210526316,31.484311740890675,27.098954088034585,True
1,9,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,88,457,401,08431db37e5367e8ec2d402a14c506279974dc5962c6f6a591370906fa8566b7,54,130.3846153846154,97.15789473684211,33.22672064777328,21.06456567413627,True
1,10,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,32,387,10,08f1fbccc52e6bc49a56890a68dba716883c0befd3c4a008368c680a4322ce63,10,109.53846153846153,87.67763157894737,21.860829959514163,29.422895088476995,True
