audit_image_index,audit_annotation_index,canonical_image_id,run,pattern,image_relative_path,annotation_relative_path,image_sha256,annotation_sha256,annotation_row_index,x,y,annotation_selection_rank_sha256,raw_crop_relative_path,crop_source_box_xyxy,display_interpolation,marker_status
1,1,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,79,421,214,00f5f4c20fcd294f116b3c02ff30d020050306d74a3bfceae52e3c5be412f06d,artifacts/experiment-002/evidence-pixels/blind-audit/S01_R1_2_left_loop/raw-crops/A01_row0079_x421_y214.png,"[397,190,445,238]",INTER_NEAREST_4X,DISPLAY_ONLY_RED_RING_CENTER_PIXEL_UNOCCLUDED
1,2,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,224,45,331,062fbc13b82fc84a602b00fa7b6998dea2aaa59740e932ebacbe8be086ef445c,artifacts/experiment-002/evidence-pixels/blind-audit/S01_R1_2_left_loop/raw-crops/A02_row0224_x45_y331.png,"[21,307,69,355]",INTER_NEAREST_4X,DISPLAY_ONLY_RED_RING_CENTER_PIXEL_UNOCCLUDED
1,3,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,97,72,220,066eec5ef38a6134e7364fb6f5e925e571d53fb3396ed8db5a93a233b78cc30d,artifacts/experiment-002/evidence-pixels/blind-audit/S01_R1_2_left_loop/raw-crops/A03_row0097_x72_y220.png,"[48,196,96,244]",INTER_NEAREST_4X,DISPLAY_ONLY_RED_RING_CENTER_PIXEL_UNOCCLUDED
1,4,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,351,506,310,0724e61b884c2521132b6ed04ad2765f3cc5cea100482263ff8bc1ed88953b12,artifacts/experiment-002/evidence-pixels/blind-audit/S01_R1_2_left_loop/raw-crops/A04_row0351_x506_y310.png,"[482,286,530,334]",INTER_NEAREST_4X,DISPLAY_ONLY_RED_RING_CENTER_PIXEL_UNOCCLUDED
1,5,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,274,244,311,0734f7462106958c0e945a92db9bf0bd4233767692fa92941e64bd0444d22272,artifacts/experiment-002/evidence-pixels/blind-audit/S01_R1_2_left_loop/raw-crops/A05_row0274_x244_y311.png,"[220,287,268,335]",INTER_NEAREST_4X,DISPLAY_ONLY_RED_RING_CENTER_PIXEL_UNOCCLUDED
1,6,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,4,12,43,073c635a686710370e30b66204207ea997df9afdc53be08acb25a0194b8590fe,artifacts/experiment-002/evidence-pixels/blind-audit/S01_R1_2_left_loop/raw-crops/A06_row0004_x12_y43.png,"[-12,19,36,67]",INTER_NEAREST_4X,DISPLAY_ONLY_RED_RING_CENTER_PIXEL_UNOCCLUDED
1,7,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,42,10,281,07dda8a7e7f2c90044761306f5e8aca9f40926866c35df7d8612df2a112bada4,artifacts/experiment-002/evidence-pixels/blind-audit/S01_R1_2_left_loop/raw-crops/A07_row0042_x10_y281.png,"[-14,257,34,305]",INTER_NEAREST_4X,DISPLAY_ONLY_RED_RING_CENTER_PIXEL_UNOCCLUDED
1,8,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,30,129,10,08087aab99381c54334b793b34bf5c0a9de6c8567462ba7c96e657ad2c9464fc,artifacts/experiment-002/evidence-pixels/blind-audit/S01_R1_2_left_loop/raw-crops/A08_row0030_x129_y10.png,"[105,-14,153,34]",INTER_NEAREST_4X,DISPLAY_ONLY_RED_RING_CENTER_PIXEL_UNOCCLUDED
1,9,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,88,457,401,08431db37e5367e8ec2d402a14c506279974dc5962c6f6a591370906fa8566b7,artifacts/experiment-002/evidence-pixels/blind-audit/S01_R1_2_left_loop/raw-crops/A09_row0088_x457_y401.png,"[433,377,481,425]",INTER_NEAREST_4X,DISPLAY_ONLY_RED_RING_CENTER_PIXEL_UNOCCLUDED
1,10,R1/2_left_loop,R1,left_loop,Pore ground truth/Fingerprint Images/R1/2_left_loop.jpg,Pore ground truth/Ground truth/R1/2_left_loop.tsv,5dc8fc46dcd33d38d9f9692f07b269770988fc616371ee3f3544208bdf0d01b0,4774199238e59d07d2a3e84a598a87016ca1bb34b03c5beac21b808f632b2911,32,387,10,08f1fbccc52e6bc49a56890a68dba716883c0befd3c4a008368c680a4322ce63,artifacts/experiment-002/evidence-pixels/blind-audit/S01_R1_2_left_loop/raw-crops/A10_row0032_x387_y10.png,"[363,-14,411,34]",INTER_NEAREST_4X,DISPLAY_ONLY_RED_RING_CENTER_PIXEL_UNOCCLUDED
