sample_index,subject_id,anatomical_position,finger_name,plain_2000_observability,roll_2000_observability,plain_cross_resolution_1000_2000,roll_cross_resolution_1000_2000,cross_impression_repeatability,final_classification,level3_usable,reason,evidence_reference,control_500_role,plain_500_source_id,plain_500_sha256,plain_1000_source_id,plain_1000_sha256,plain_2000_source_id,plain_2000_sha256,roll_500_source_id,roll_500_sha256,roll_1000_source_id,roll_1000_sha256,roll_2000_source_id,roll_2000_sha256,plain_1000_2000_pearson_all_pixels,plain_1000_2000_pearson_dark_union,plain_1000_2000_mae_all_pixels,plain_500_1000_control_pearson_all_pixels,roll_1000_2000_pearson_all_pixels,roll_1000_2000_pearson_dark_union,roll_1000_2000_mae_all_pixels,roll_500_1000_control_pearson_all_pixels,navigation_alignment_scientific_status,navigation_alignment_source_ppi,navigation_alignment_geometric_inliers,navigation_patch_count
1,00001809,1,right_thumb,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,LEVEL3_USABLE,True,Multiple small intraridge voids form a consistent local configuration in both impressions after ridge-level alignment.,artifacts/experiment-001/evidence-pixels/S01_00001809_P01/plates/patch_01_cross_impression.png,DESCRIPTIVE_ONLY_NOT_USED_FOR_DECISION,sd300a/images/500/png/plain/00001809_plain_500_11.png,f4d3e13f527afef29d5ab71611744d39cf22a19d54c6fc88b217fafe3a96ddd7,sd300b/images/1000/png/plain/00001809_plain_1000_11.png,3868a0d2fded84b21b794894e7f08278dad6c0f8bfff93d963f108303c0bf047,sd300c/images/2000/png/plain/00001809_plain_2000_11.png,3e16c46aa03c5c54dd82b79c6398b66a863b773817525d2343287eb8f9527041,sd300a/images/500/png/roll/00001809_roll_500_01.png,a09de71cfaf016cd9af02bcd2eca6f8b5f849d98dee52bc91f56a575d7df7f7f,sd300b/images/1000/png/roll/00001809_roll_1000_01.png,7aedb4c0dc28c32f2e25739674288a87442befe573d051f0b808ceeb14a90f74,sd300c/images/2000/png/roll/00001809_roll_2000_01.png,a80cb9c712cebbfcc397b561a6081649adc0b95946bbd5164a57479c462161fa,0.993234,0.992221,3.280349,0.995869,0.976148,0.976033,6.139741,0.996345,NAVIGATION_ONLY_NOT_GROUND_TRUTH,1000,13,4
2,00001718,1,right_thumb,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,LEVEL3_USABLE,True,A repeatable cluster is visible despite localized excess ink and broken-ridge texture.,artifacts/experiment-001/evidence-pixels/S02_00001718_P01/plates/patch_01_cross_impression.png,DESCRIPTIVE_ONLY_NOT_USED_FOR_DECISION,sd300a/images/500/png/plain/00001718_plain_500_11.png,8eae0eb22f3a705ad86e5b93aeeed7bce14ccab72cb5981e6aa9159c517eb15f,sd300b/images/1000/png/plain/00001718_plain_1000_11.png,04ec58a85d8e9d47dde06636134a625a1fa63236d9025c158ca16f22658be64d,sd300c/images/2000/png/plain/00001718_plain_2000_11.png,aeb3f244ebe218f18468c6a148df54e84b4e8c2d0af059079e8b10b338cca88e,sd300a/images/500/png/roll/00001718_roll_500_01.png,9aab199414644725d8f08610ae4db0d69960e915f6b4d20326f06e5845adac07,sd300b/images/1000/png/roll/00001718_roll_1000_01.png,154eefda49bf36d5014238217d0bbb8476d3b3428f1e93d2a5a5faa5b47577cf,sd300c/images/2000/png/roll/00001718_roll_2000_01.png,fcc7b7e403cf6f5614d3e5d6d9d90242ce395a07b2aa38b40a5078af410c2a8b,0.950723,0.950723,58.098454,0.991808,0.963088,0.962934,5.875832,0.994635,NAVIGATION_ONLY_NOT_GROUND_TRUTH,1000,16,4
3,00001335,2,right_index,AMBIGUOUS,CLEAR,CLEAR,CLEAR,AMBIGUOUS,SCAN_REPEATABLE_BUT_ANATOMICALLY_UNVALIDATED,False,The plain impression is faint and mottled; no three-candidate configuration can be separated confidently from ridge breakup.,artifacts/experiment-001/evidence-pixels/S03_00001335_P02/plates/patch_01_cross_impression.png,DESCRIPTIVE_ONLY_NOT_USED_FOR_DECISION,sd300a/images/500/png/plain/00001335_plain_500_02.png,3e1a3d6f6af58cb75b4f44d69fa1a6170dd3d274bcaf2ee023b63e45ead591aa,sd300b/images/1000/png/plain/00001335_plain_1000_02.png,9fac26259fcb2325aea9ed26ba3b4241a763cb25bab5a8b6f4346e72919ce749,sd300c/images/2000/png/plain/00001335_plain_2000_02.png,2bf634d29b28f80caa45704a6fa90572c13ad96061d277543280d87e6d50f00f,sd300a/images/500/png/roll/00001335_roll_500_02.png,acb303c2cd34d0cfccf1806bd74d402b629c8e64f048705edeace6f1b38a9168,sd300b/images/1000/png/roll/00001335_roll_1000_02.png,5aabef2ca4689e15e4c46bd7b567a0597fcf185923db447a50022a3819ad8808,sd300c/images/2000/png/roll/00001335_roll_2000_02.png,05fdffb93afdcfbdd715de1bdfc39bb48e4e111f0e6d93d0820a7c240382fb2d,0.951079,0.948026,4.29371,0.978319,0.979694,0.979686,4.098341,0.998801,NAVIGATION_ONLY_NOT_GROUND_TRUTH,500,22,3
4,00001593,2,right_index,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,LEVEL3_USABLE,True,Several circular intraridge voids preserve their relative order and ridge context across impressions.,artifacts/experiment-001/evidence-pixels/S04_00001593_P02/plates/patch_01_cross_impression.png,DESCRIPTIVE_ONLY_NOT_USED_FOR_DECISION,sd300a/images/500/png/plain/00001593_plain_500_02.png,15ffd2b94172b448dbb390674558ed0f5255247ffbce7bc2e7702a7ae7161a66,sd300b/images/1000/png/plain/00001593_plain_1000_02.png,10c633deb024285ebf164725fd2685a9d82d400c376bdb32587477751482bc50,sd300c/images/2000/png/plain/00001593_plain_2000_02.png,2d6065737c705933231729162bebc45ebaf2a674861cdfacf05ab0973b5e215a,sd300a/images/500/png/roll/00001593_roll_500_02.png,d802e802a4ea89cd220b6c4656b00d95554587c2bb0a527f84c9dfec4c7e80cd,sd300b/images/1000/png/roll/00001593_roll_1000_02.png,c1b8b8d7cd82aff5f733865b1424fa69a597db185c35345ca2b71c4a6d90d296,sd300c/images/2000/png/roll/00001593_roll_2000_02.png,364eee7f17ccbac5d1359f4af21196e811b0ce9a0375c7c82d71829530f77768,0.980347,0.958202,6.420204,0.990955,0.959743,0.959726,7.34148,0.994932,NAVIGATION_ONLY_NOT_GROUND_TRUTH,500,14,3
5,00001314,3,right_middle,CLEAR,CLEAR,CLEAR,CLEAR,AMBIGUOUS,SCAN_REPEATABLE_BUT_ANATOMICALLY_UNVALIDATED,False,"Candidate voids are present in each impression, but the local plain-to-roll navigation alignment is unreliable and no convincing anatomical cluster was verified.",artifacts/experiment-001/evidence-pixels/S05_00001314_P03/overview_2000.png,DESCRIPTIVE_ONLY_NOT_USED_FOR_DECISION,sd300a/images/500/png/plain/00001314_plain_500_03.png,68d0d3f260f12b60bb465b3edde5cb5008cdb28521271f68d9002da8d972eb54,sd300b/images/1000/png/plain/00001314_plain_1000_03.png,e9a8f188c4f43ece0cc9bf3c573aa949cb0cc81399b77dfb32a4f9e59d4840bb,sd300c/images/2000/png/plain/00001314_plain_2000_03.png,998c4d0803a9d66791852dac5314425ee0cdac1c4edf7fcd3b7d7455017a48bb,sd300a/images/500/png/roll/00001314_roll_500_03.png,bdb79694b710786a58e57aa01b29b8e5dc218a0a313742a54837e1f74bb05c84,sd300b/images/1000/png/roll/00001314_roll_1000_03.png,d6908c9be259d7a8c74221136ce48b559579313a7496bf6009786b60425da48a,sd300c/images/2000/png/roll/00001314_roll_2000_03.png,5ae05c1bcf8f973d2ebd0e04b41b3e7adb63bf9cadaeb1bf548a489347fc02df,0.976467,0.959919,5.197258,0.988982,0.965007,0.956035,5.462113,0.998072,NAVIGATION_ONLY_NOT_GROUND_TRUTH,2000,6,1
6,00001267,3,right_middle,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,LEVEL3_USABLE,True,Strongest case: numerous well-bounded candidate pores preserve a multi-ridge local configuration in independent plain and rolled impressions.,artifacts/experiment-001/evidence-pixels/S06_00001267_P03/plates/patch_01_cross_impression.png,DESCRIPTIVE_ONLY_NOT_USED_FOR_DECISION,sd300a/images/500/png/plain/00001267_plain_500_03.png,105a9e5f05d287c7f895487018bcd6fe6241d288ced77b5de060ba981b77c45b,sd300b/images/1000/png/plain/00001267_plain_1000_03.png,687f471442d5887b1c1212bcccfaf9752b16c3bf420a1efe649ec06ab5276bdf,sd300c/images/2000/png/plain/00001267_plain_2000_03.png,81de3397324fe0cbb22531d62113ddf24073f2e932eda7e4982ca2c0409a294e,sd300a/images/500/png/roll/00001267_roll_500_03.png,c6ad7477911d7c479576099a8d32aab7a58f8e55cf84bc58b4b61d53ee7b9215,sd300b/images/1000/png/roll/00001267_roll_1000_03.png,a1db28e8425462bff9f741980b7f51058f28113cd09947e142e6583a5064ce4d,sd300c/images/2000/png/roll/00001267_roll_2000_03.png,08fc850815ea230bd0214b87b1b4aa01269bdaffb48e39ad32df82c44818affa,0.947628,0.917109,8.094655,0.95097,0.997897,0.997894,1.782923,0.98139,NAVIGATION_ONLY_NOT_GROUND_TRUTH,500,15,3
7,00001061,4,right_ring,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,LEVEL3_USABLE,True,A local sequence of candidate pores remains traceable in both impressions despite faint and partly broken ridges.,artifacts/experiment-001/evidence-pixels/S07_00001061_P04/plates/patch_01_cross_impression.png,DESCRIPTIVE_ONLY_NOT_USED_FOR_DECISION,sd300a/images/500/png/plain/00001061_plain_500_04.png,57940c7eebb8c0c857c7dd2133cf689e5e348e131ba0c0ea48bb147d4668150a,sd300b/images/1000/png/plain/00001061_plain_1000_04.png,98ea489f206f0b5204289fce4a85e6ba7ed23301bf72e910dd76f875c5e0bf51,sd300c/images/2000/png/plain/00001061_plain_2000_04.png,8d08bf838077a69931c0fc5417f2299842ff64e4bede438fb098058a991b9e7e,sd300a/images/500/png/roll/00001061_roll_500_04.png,fb7e3cf4faa6a6bad90f5409002f8a4237167821a1b5e6768c25a087248f9408,sd300b/images/1000/png/roll/00001061_roll_1000_04.png,1d19c01b8971872ed47d7863f674708d54783135d650ae0b204eec3475d3d09d,sd300c/images/2000/png/roll/00001061_roll_2000_04.png,a79d8f1d4aa8ed9ae0a11e49db41370d9b8d62329f590445197934d183c31ed5,0.986912,0.981284,2.747912,0.984609,0.996183,0.993831,2.08198,0.982418,NAVIGATION_ONLY_NOT_GROUND_TRUTH,500,7,3
8,00001050,4,right_ring,AMBIGUOUS,AMBIGUOUS,CLEAR,CLEAR,AMBIGUOUS,SCAN_REPEATABLE_BUT_ANATOMICALLY_UNVALIDATED,False,"Both impressions are faint and patchy, and the local navigation alignment is not trustworthy enough to establish a three-candidate configuration.",artifacts/experiment-001/evidence-pixels/S08_00001050_P04/overview_2000.png,DESCRIPTIVE_ONLY_NOT_USED_FOR_DECISION,sd300a/images/500/png/plain/00001050_plain_500_04.png,704b911c290fddd2969eeae7d82a57d06b692d0159ca5ed5cf1506088ff9b1fd,sd300b/images/1000/png/plain/00001050_plain_1000_04.png,deabeb785e3f47c6372521f230070c2004b28f219d0cca8c5836da00a650454d,sd300c/images/2000/png/plain/00001050_plain_2000_04.png,c4acd4b44065c8776c6cc7a2b64b72ea2f7eef7214392857932988f02360a7df,sd300a/images/500/png/roll/00001050_roll_500_04.png,394ec37467a38ff580bc9f4b7d8a9b2e13e55d3c6b51401ff8d5c01bc44b0e4f,sd300b/images/1000/png/roll/00001050_roll_1000_04.png,24080dc5ad68c1cdb999a95211c569ccfeb93fb9176a05e51a9fe8c69b96baf0,sd300c/images/2000/png/roll/00001050_roll_2000_04.png,07c907f52d813fc491906a4c0c29a73a77b559940207a708103118571d4b9993,0.773174,0.760627,10.212488,0.916636,0.991868,0.990445,2.332304,0.985204,NAVIGATION_ONLY_NOT_GROUND_TRUTH,2000,5,1
9,00001187,5,right_little,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,LEVEL3_USABLE,True,A cluster around the loop preserves candidate positions and relative ridge context across impressions.,artifacts/experiment-001/evidence-pixels/S09_00001187_P05/plates/patch_01_cross_impression.png,DESCRIPTIVE_ONLY_NOT_USED_FOR_DECISION,sd300a/images/500/png/plain/00001187_plain_500_05.png,b847d11ed754f0449127d1fbc1146e2cb8d70b512cee0c3169dabb345a4261fb,sd300b/images/1000/png/plain/00001187_plain_1000_05.png,46a75f85a176e1365483ed43fce0de2919c1d37dcf53ebb18049b3bbccbc431f,sd300c/images/2000/png/plain/00001187_plain_2000_05.png,e8360bea9daa70283b8532cbea9cca55c19328135790419a04cc8e22ebbda6dd,sd300a/images/500/png/roll/00001187_roll_500_05.png,b6d720fccc2cf0db8000d0acd2ab41bdc7d9b2f0f023eda305ff587bfde46e3d,sd300b/images/1000/png/roll/00001187_roll_1000_05.png,c46346976ef53b8a18a70c50af77deefe842251635dd3fb46b7a907fc56c33fd,sd300c/images/2000/png/roll/00001187_roll_2000_05.png,9ba1b12ae843d395ed8fcbbc8be98a6540a16d49d6e3c87c88c9accb2440ea3c,0.971469,0.971878,3.264568,0.94648,0.992792,0.992792,2.668553,0.985929,NAVIGATION_ONLY_NOT_GROUND_TRUTH,2000,18,3
10,00001668,5,right_little,CLEAR,CLEAR,CLEAR,CLEAR,AMBIGUOUS,SCAN_REPEATABLE_BUT_ANATOMICALLY_UNVALIDATED,False,The only navigated overlap contains many ridge-edge irregularities; fewer than three isolated pore candidates can be confirmed conservatively in both impressions.,artifacts/experiment-001/evidence-pixels/S10_00001668_P05/plates/patch_01_cross_impression.png,DESCRIPTIVE_ONLY_NOT_USED_FOR_DECISION,sd300a/images/500/png/plain/00001668_plain_500_05.png,9a4a3afa067864c80fae727ea7583eae46aaf5260d501e5add292c975aaaa0fc,sd300b/images/1000/png/plain/00001668_plain_1000_05.png,a137c73856b6082cecb00e9bedc5b023c2c86bfadaab8b60ee9886057c9d1bed,sd300c/images/2000/png/plain/00001668_plain_2000_05.png,d8d4ae5efc035a2846d527bc6b8ccdd94256208d03694727a8d22feddec85d23,sd300a/images/500/png/roll/00001668_roll_500_05.png,c6bc40c19e6770a3141c9a2f4b595f514669522fbaea7881878c6e8a6d656e2e,sd300b/images/1000/png/roll/00001668_roll_1000_05.png,66743be7588817016533cb434c437d1a7692712c69c17eb8fe88599db33b7cc8,sd300c/images/2000/png/roll/00001668_roll_2000_05.png,481a4e5e3a5827f706a64f2d264668b1e5eff3965ba53947e1240befe819f22c,0.954363,0.908322,7.85954,0.986842,0.98155,0.930494,4.806735,0.992871,NAVIGATION_ONLY_NOT_GROUND_TRUTH,500,6,1
